runtime,seasons,imdb_score,action,animation,comedy,crime,documentation,drama,european,family,fantasy,history,horror,music,reality,romance,scifi,sport,thriller,war,western,América del Sur,América del Norte,África,Europa,Oceanía,Asia,Streaming_Service,type_SHOW,release_year_1970s,release_year_1980s,release_year_1990s,release_year_2000s,release_year_2010s,release_year_2020s,release_year_<1970
114,0.0,8.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
109,0.0,7.7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
91,0.0,8.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Netflix,False,True,False,False,False,False,False,False
150,0.0,7.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Netflix,False,False,False,False,False,False,False,True
30,4.0,8.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Netflix,True,False,False,False,False,False,False,True
94,0.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Netflix,False,True,False,False,False,False,False,False
102,0.0,7.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
110,0.0,7.7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Netflix,False,False,False,False,False,False,False,True
104,0.0,5.8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
158,0.0,7.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Netflix,False,False,False,False,False,False,False,True
117,0.0,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Netflix,False,False,False,False,False,False,False,True
78,0.0,8.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
115,0.0,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Netflix,False,False,False,False,False,False,False,True
77,0.0,7.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Netflix,False,False,False,False,False,False,False,True
150,0.0,7.5,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Netflix,False,True,False,False,False,False,False,False
97,0.0,6.2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Netflix,False,True,False,False,False,False,False,False
133,0.0,7.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Netflix,False,True,False,False,False,False,False,False
129,0.0,8.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Netflix,False,False,False,False,False,False,False,True
186,0.0,7.6,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Netflix,False,False,False,False,False,False,False,True
146,0.0,6.2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Netflix,False,True,False,False,False,False,False,False
100,0.0,7.4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Netflix,False,False,False,False,False,False,False,True
120,0.0,6.7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,Netflix,False,False,False,False,False,False,False,True
74,0.0,6.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Netflix,False,True,False,False,False,False,False,False
158,0.0,6.4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Netflix,False,False,False,False,False,False,False,True
43,1.0,8.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Netflix,True,True,False,False,False,False,False,False
110,0.0,6.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Netflix,False,True,False,False,False,False,False,False
124,0.0,7.2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,Netflix,False,True,False,False,False,False,False,False
131,0.0,5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Netflix,False,True,False,False,False,False,False,False
